timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec,read_bytes_per_sec,write_bytes_per_sec,label,session_id,mouse_left_click_freq,mouse_right_click_freq,mouse_scroll_freq,keyboard_counts_freq,mouse_distance_freq,bytes_sent_per_sec_freq,bytes_recv_per_sec_freq,packets_sent_per_sec_freq,packets_recv_per_sec_freq,read_bytes_per_sec_freq,write_bytes_per_sec_freq
5483.0,0.0,0,0,0,0,-2.809090909090909,-7.96872110939907,-3.377503852080123,0.22842851596873,511,893,5,6,0,32768,3,3,0.0,0.0,0.0,0.0,0.0,41267.0,1032185.0,565.0,723.0,315392.0,1600512.0
5484.0,0.0,0,0,0,0,-1.1090909090909091,-8.068721109399071,-2.377503852080123,0.22842851596873,16285,387881,208,269,0,86016,3,3,0.0,0.0,0.0,0.0,0.0,32159.0,747112.0,407.0,539.0,315392.0,1625600.0
5486.0,0.0,0,0,0,0,1.4909090909090903,-8.068721109399071,-4.377503852080123,0.22842851596873,7854,11599,24,24,0,39424,3,3,0.0,0.0,0.0,0.0,0.0,39237.0,758319.0,427.0,560.0,90112.0,1423360.0
5487.0,0.0,0,0,0,0,-0.6090909090909093,-8.068721109399071,-2.377503852080123,0.22842851596873,374,353,4,3,65536,172032,3,3,0.0,0.0,0.0,0.0,0.0,39501.0,758546.0,429.0,561.0,155648.0,1489408.0
5488.0,0.0,0,0,0,0,-2.5090909090909097,-8.068721109399071,-3.377503852080123,0.22842851596873,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0,39393.0,758255.0,427.0,557.0,155648.0,1305088.0
5489.0,0.0,0,0,0,0,-0.9090909090909092,-7.96872110939907,-0.3775038520801228,0.4089518427884684,0,0,0,0,4096,205312,3,3,0.0,0.0,0.0,0.0,0.0,25474.0,402739.0,248.0,312.0,94208.0,756736.0
5490.0,0.0,0,0,0,0,-0.1090909090909093,-7.96872110939907,-1.3775038520801228,0.4089518427884684,16483,441932,232,299,24576,12288,3,3,0.0,0.0,0.0,0.0,0.0,41687.0,842870.0,475.0,604.0,94208.0,769024.0
5491.0,0.0,0,0,0,0,-2.9090909090909096,-7.96872110939907,-2.377503852080123,0.4089518427884684,54,60,1,1,0,65536,3,3,0.0,0.0,0.0,0.0,0.0,41741.0,842930.0,476.0,605.0,94208.0,764928.0
5492.0,0.0,0,0,0,0,-2.4090909090909096,-7.96872110939907,-4.377503852080123,0.4089518427884684,0,0,0,0,0,53248,3,3,0.0,0.0,0.0,0.0,0.0,41561.0,842718.0,474.0,602.0,94208.0,666624.0
5493.0,0.0,0,0,0,0,-2.6090909090909093,-7.868721109399068,-4.377503852080123,0.3585732399550529,19458,9093,50,51,0,118784,3,3,0.0,0.0,0.0,0.0,0.0,60508.0,850918.0,519.0,647.0,94208.0,752640.0
5494.0,0.0,0,0,0,0,-2.209090909090909,-7.868721109399068,-3.377503852080123,0.3551383352164095,18748,556994,284,376,0,106496,3,3,0.0,0.0,0.0,0.0,0.0,62971.0,1020031.0,595.0,754.0,94208.0,773120.0
5495.0,0.0,0,0,0,0,-1.0090909090909097,-7.868721109399068,-3.377503852080123,0.3261324729789905,3108,44619,28,31,0,69632,3,3,0.0,0.0,0.0,0.0,0.0,66079.0,1064650.0,623.0,785.0,94208.0,842752.0
5496.0,0.0,0,0,0,0,0.1909090909090904,-7.768721109399067,-3.377503852080123,0.3261324729789905,0,0,0,0,0,12288,3,3,0.0,0.0,0.0,0.0,0.0,58225.0,1053051.0,599.0,761.0,94208.0,815616.0
5497.0,0.0,0,0,0,0,6.590909090909091,-7.568721109399071,-5.377503852080123,0.3261324729789905,355,317,4,3,0,6829056,3,3,0.0,0.0,0.0,0.0,0.0,58206.0,1053015.0,599.0,761.0,28672.0,7472640.0
5498.0,0.0,0,0,0,0,3.3909090909090898,-7.668721109399073,-5.377503852080123,0.3261324729789905,55,66,1,1,43008,40678912,3,3,0.0,0.0,0.0,0.0,0.0,58261.0,1053081.0,600.0,762.0,71680.0,48151552.0
5499.0,0.0,0,0,0,0,3.29090909090909,-7.668721109399073,-3.377503852080123,0.3261324729789905,1915,1828,9,10,114688,1185280,3,3,0.0,0.0,0.0,0.0,0.0,60176.0,1054909.0,609.0,772.0,182272.0,49131520.0
5500.0,0.0,0,0,0,0,5.79090909090909,-7.668721109399073,-0.3775038520801228,0.3261324729789905,18201,390690,219,273,61440,12288,3,3,0.0,0.0,0.0,0.0,0.0,61894.0,1003667.0,596.0,746.0,219136.0,49131520.0
5501.0,0.0,0,0,0,0,1.1909090909090905,-7.368721109399068,-5.377503852080123,0.3261324729789905,8046,5150,12,9,0,86016,3,3,0.0,0.0,0.0,0.0,0.0,69886.0,1008757.0,607.0,754.0,219136.0,49152000.0
5502.0,0.0,0,0,0,0,4.89090909090909,-7.168721109399073,-5.377503852080123,0.3261324729789905,7673,462,8,7,16384,115712,3,3,0.0,0.0,0.0,0.0,0.0,77559.0,1009219.0,615.0,761.0,235520.0,49214464.0
5503.0,0.0,0,0,0,0,3.29090909090909,-7.068721109399071,-5.377503852080123,0.3261324729789905,187,1167,3,3,32768,166400,3,3,0.0,0.0,0.0,0.0,0.0,58288.0,1001293.0,568.0,713.0,268288.0,49262080.0
5504.0,0.0,0,0,0,0,6.6909090909090905,-7.46872110939907,-3.377503852080123,0.2772804944738603,22763,542835,316,369,4096,200704,3,3,0.0,0.0,0.0,0.0,0.0,62303.0,987134.0,600.0,706.0,272384.0,49356288.0
5505.0,0.0,0,0,0,0,3.1909090909090905,-7.368721109399068,-3.377503852080123,0.2772804944738603,1997,1175,10,6,0,2468864,3,3,0.0,0.0,0.0,0.0,0.0,61192.0,943690.0,582.0,681.0,272384.0,51755520.0
5506.0,336.3297171103885,0,0,0,0,4.89090909090909,-7.96872110939907,7.622496147919877,0.2772804944738603,54,0,1,0,0,149504,3,3,0.0,0.0,0.0,0.0,336.32971711038874,61246.0,943690.0,583.0,681.0,272384.0,51892736.0
5507.0,678.0154552826788,1,0,0,0,3.8909090909090898,-7.96872110939907,28.622496147919875,0.9425070455241772,15240,205783,146,171,81920,262656,3,3,1.0,0.0,0.0,0.0,1014.3451723930675,76131.0,1149156.0,725.0,849.0,354304.0,45326336.0
84018.0,0.0,0,0,0,0,-5.3090909090909095,12.831278890600927,9.622496147919875,0.6926654327982362,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84019.0,226.2817074800264,2,0,0,0,-0.2090909090909098,12.831278890600927,9.622496147919875,0.6926654327982362,207,134,1,1,159744,189952,0,4,2.0,0.0,0.0,0.0,226.2817074800264,207.0,134.0,1.0,1.0,159744.0,189952.0
84020.0,0.0,0,0,0,1,-3.4090909090909096,12.931278890600936,-7.377503852080123,0.6789258138436693,219,252,4,4,0,0,0,4,2.0,0.0,0.0,1.0,226.2817074800264,426.0,386.0,5.0,5.0,159744.0,189952.0
84021.0,0.0,0,0,0,2,2.29090909090909,12.431278890600936,-2.377503852080123,0.6865589354850954,164,252,3,4,65536,111104,0,4,2.0,0.0,0.0,3.0,226.2817074800264,590.0,638.0,8.0,9.0,225280.0,301056.0
84022.0,0.0,0,0,0,1,-1.9090909090909096,12.431278890600936,-3.377503852080123,0.687322247649238,109,720,2,2,49664,241664,0,4,2.0,0.0,0.0,4.0,226.2817074800264,699.0,1358.0,10.0,11.0,274944.0,542720.0
84023.0,0.0,0,0,0,6,1.0909090909090908,12.331278890600927,-7.377503852080123,0.6926654327982362,110,186,2,3,25590272,225792,0,4,2.0,0.0,0.0,10.0,226.2817074800264,809.0,1544.0,12.0,14.0,25865216.0,768512.0
84024.0,0.0,0,0,0,4,-1.5090909090909097,12.331278890600927,-4.377503852080123,0.6819790625002433,272,483,5,7,0,98304,0,4,2.0,0.0,0.0,14.0,226.2817074800264,1081.0,2027.0,17.0,21.0,25865216.0,866816.0
84025.0,0.0,0,0,0,3,5.6909090909090905,12.53127889060093,-7.377503852080123,0.453653311401073,110,126,2,2,1479680,977920,0,4,2.0,0.0,0.0,17.0,226.2817074800264,1191.0,2153.0,19.0,23.0,27344896.0,1844736.0
84026.0,0.0,0,0,0,3,-1.4090909090909096,12.631278890600925,-5.377503852080123,0.453653311401073,164,306,3,5,528384,258048,0,4,2.0,0.0,0.0,20.0,226.2817074800264,1355.0,2459.0,22.0,28.0,27873280.0,2102784.0
84027.0,0.0,0,0,0,3,1.1909090909090905,12.631278890600925,-7.377503852080123,0.4544166235652156,728,808,4,5,12288,484864,0,4,2.0,0.0,0.0,23.0,226.2817074800264,2083.0,3267.0,26.0,33.0,27885568.0,2587648.0
84028.0,0.0,0,0,0,6,1.4909090909090903,12.831278890600927,-1.3775038520801228,0.5338010886360465,2285,990,6,6,679936,73728,0,4,2.0,0.0,0.0,29.0,226.2817074800264,4368.0,4257.0,32.0,39.0,28565504.0,2661376.0
84029.0,0.0,0,0,0,5,2.1909090909090905,12.831278890600927,-7.377503852080123,0.5338010886360465,55,186,1,3,385024,110592,0,4,0.0,0.0,0.0,34.0,0.0,4216.0,4309.0,32.0,41.0,28790784.0,2582016.0
84030.0,0.0,0,0,0,6,8.59090909090909,13.231278890600931,-0.3775038520801228,0.4294181501895409,2173,447,5,5,983552,153088,0,4,0.0,0.0,0.0,39.0,0.0,6170.0,4504.0,33.0,42.0,29774336.0,2735104.0
84031.0,0.0,0,0,0,1,6.39090909090909,13.53127889060093,0.6224961479198772,0.4293704431792804,3084,666,6,5,65536,72704,0,4,0.0,0.0,0.0,38.0,0.0,9090.0,4918.0,36.0,43.0,29774336.0,2696704.0
84032.0,0.0,0,0,0,4,6.090909090909091,13.331278890600927,-7.377503852080123,0.3812817768382963,6437,5788,22,18,65536,40960,0,4,0.0,0.0,0.0,41.0,0.0,15418.0,9986.0,56.0,59.0,29790208.0,2496000.0
84033.0,0.0,0,0,0,5,4.590909090909091,13.131278890600925,0.6224961479198772,0.3812817768382963,4652,5323,19,19,0,202240,0,4,0.0,0.0,0.0,40.0,0.0,19960.0,15123.0,73.0,75.0,4199936.0,2472448.0
84034.0,0.0,0,0,0,5,7.1909090909090905,13.03127889060093,1.6224961479198772,0.393494771464578,614,707,10,10,0,68608,0,4,0.0,0.0,0.0,41.0,0.0,20302.0,15347.0,78.0,78.0,4199936.0,2442752.0
84035.0,0.0,0,0,0,4,1.6909090909090905,12.331278890600927,1.6224961479198772,0.3866249619872945,273,198,5,3,225280,667648,0,4,0.0,0.0,0.0,42.0,0.0,20465.0,15419.0,81.0,79.0,2945536.0,2132480.0
84036.0,0.0,0,0,0,1,-1.4090909090909096,12.431278890600936,-7.377503852080123,0.2950275022901749,271,186,5,3,0,581632,0,4,0.0,0.0,0.0,40.0,0.0,20572.0,15299.0,83.0,77.0,2417152.0,2456064.0
84037.0,0.0,0,0,0,3,1.1909090909090905,12.431278890600936,-7.377503852080123,0.2965541266184601,55,66,1,1,32768,399360,0,4,0.0,0.0,0.0,40.0,0.0,19899.0,14557.0,80.0,73.0,2437632.0,2370560.0
84038.0,0.0,0,0,0,0,-1.9090909090909096,12.53127889060093,-7.377503852080123,0.2973174387826027,55,66,1,1,0,159744,0,4,0.0,0.0,0.0,34.0,0.0,17669.0,13633.0,75.0,68.0,1757696.0,2456576.0
84039.0,0.0,0,0,0,6,0.7909090909090901,12.631278890600925,-4.377503852080123,0.3034239360957436,289,212,4,3,0,534528,0,4,0.0,0.0,0.0,35.0,0.0,17903.0,13659.0,78.0,68.0,1372672.0,2880512.0
84040.0,0.0,0,0,0,4,0.9909090909090904,12.731278890600931,-2.377503852080123,0.2965541266184601,496,1159,5,5,3133440,110592,0,4,0.0,0.0,0.0,33.0,0.0,16226.0,14371.0,78.0,68.0,3522560.0,2838016.0
84041.0,0.0,0,0,0,4,-0.5090909090909097,12.731278890600931,-1.3775038520801228,0.2965541266184601,110,126,2,2,0,270336,0,4,0.0,0.0,0.0,36.0,0.0,13252.0,13831.0,74.0,65.0,3457024.0,3035648.0
84042.0,0.0,0,0,0,4,1.8909090909090909,12.831278890600927,-5.377503852080123,0.2950275022901749,522,194,4,2,209408,262144,0,4,0.0,0.0,0.0,36.0,0.0,7337.0,8237.0,56.0,49.0,3600896.0,3256832.0
84043.0,0.0,0,0,0,0,-0.2090909090909098,12.831278890600927,-4.377503852080123,0.2950275022901749,0,0,0,0,126976,621056,0,4,0.0,0.0,0.0,31.0,0.0,2685.0,2914.0,37.0,30.0,3727872.0,3675648.0
84044.0,0.0,0,0,0,3,-0.2090909090909098,12.931278890600936,-2.377503852080123,0.2965541266184601,270,351,5,5,32768,172032,0,4,0.0,0.0,0.0,29.0,0.0,2341.0,2558.0,32.0,25.0,3760640.0,3779072.0
84046.0,0.0,0,0,0,5,-0.8090909090909095,12.53127889060093,-0.3775038520801228,0.2904476293053193,0,0,0,0,98304,1718784,0,4,0.0,0.0,0.0,29.0,0.0,1797.0,2174.0,22.0,19.0,3633664.0,4248576.0
84047.0,0.0,0,0,0,3,-1.3090909090909095,12.631278890600925,7.622496147919877,0.2904476293053193,6396,1278,13,13,0,4608,0,4,0.0,0.0,0.0,29.0,0.0,8138.0,3386.0,34.0,31.0,3600896.0,3853824.0
84048.0,0.0,0,0,0,6,0.4909090909090903,12.331278890600927,9.622496147919875,0.2904476293053193,3156,64754,49,68,0,253952,0,4,0.0,0.0,0.0,35.0,0.0,11239.0,68074.0,82.0,98.0,3600896.0,3948032.0
