timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,label,session_id,mouse_left_click_freq,mouse_right_click_freq,mouse_scroll_freq,keyboard_counts_freq,mouse_distance_freq
131.0,76.45562456460287,0,1,0,5,51.5312734082397,30.019475655430703,72.5692883895131,49.28576709270348,1,0,3.0,8.0,0.0,46.0,795.600412640887
132.0,140.47098279688694,0,0,0,4,51.0312734082397,30.119475655430712,72.5692883895131,49.28576709270348,1,0,3.0,8.0,0.0,50.0,910.0161842529294
133.0,64.96366981302607,1,0,0,4,49.63127340823971,30.019475655430703,71.5692883895131,49.28576709270348,1,0,4.0,6.0,0.0,48.0,907.4333775586356
134.0,33.363582251393346,0,4,0,4,52.7312734082397,30.319475655430715,71.5692883895131,49.28576709270348,1,0,3.0,10.0,0.0,48.0,867.3000172680054
135.0,88.37732664812248,0,1,0,4,52.331273408239696,30.619475655430712,71.5692883895131,49.28576709270348,1,0,3.0,8.0,0.0,40.0,842.0958435203318
136.0,14.485281374238571,1,0,0,1,60.63127340823971,30.619475655430712,66.5692883895131,49.28576709270348,1,0,4.0,7.0,0.0,35.0,771.2343007138029
137.0,72.10051323070775,0,1,0,22,59.431273408239704,30.819475655430715,69.5692883895131,49.28576709270348,1,0,3.0,8.0,0.0,56.0,826.0342508647648
138.0,56.991709482185335,0,1,0,6,57.831273408239696,30.719475655430706,69.5692883895131,49.28576709270348,1,0,3.0,8.0,0.0,58.0,764.436473246396
139.0,19.62157912807382,1,0,0,4,54.13127340823971,30.519475655430703,68.5692883895131,49.28576709270348,1,0,3.0,8.0,0.0,56.0,659.5765806882825
140.0,6.23606797749979,0,1,0,29,56.331273408239696,30.41947565543071,67.5692883895131,49.28576709270348,1,0,3.0,9.0,0.0,83.0,573.0663372667369
141.0,28.020933179803496,0,0,0,5,52.931273408239704,30.41947565543071,72.5692883895131,49.481175006724,1,0,3.0,8.0,0.0,83.0,524.6316458819376
142.0,55.60356554369909,0,0,0,5,61.13127340823971,30.019475655430703,70.5692883895131,49.481175006724,1,0,3.0,8.0,0.0,84.0,439.7642286287497
143.0,115.14675275220873,1,0,0,4,64.83127340823971,28.019475655430703,62.569288389513105,49.481175006724,1,0,3.0,8.0,0.0,84.0,489.9473115679324
144.0,102.6003904621322,0,0,0,3,68.0312734082397,26.019475655430703,65.5692883895131,49.481175006724,1,0,3.0,4.0,0.0,83.0,559.1841197786712
145.0,83.50184537506733,0,0,0,3,54.431273408239704,25.319475655430715,72.5692883895131,49.378127864564746,1,0,3.0,3.0,0.0,82.0,554.308638505616
146.0,170.79113746599515,0,0,0,2,41.0312734082397,25.41947565543071,71.5692883895131,49.378127864564746,1,0,2.0,3.0,0.0,83.0,710.6144945973728
147.0,97.47731940963357,1,0,0,2,55.431273408239704,25.41947565543071,72.5692883895131,49.378127864564746,1,0,3.0,2.0,0.0,63.0,735.9913007762985
148.0,63.25494116053502,0,0,0,0,46.5312734082397,25.41947565543071,71.5692883895131,49.378127864564746,1,0,3.0,1.0,0.0,57.0,742.2545324546483
149.0,111.0195273632371,0,0,0,5,52.0312734082397,25.41947565543071,71.5692883895131,49.378127864564746,1,0,2.0,1.0,0.0,58.0,833.6524806898115
150.0,18.59524158061724,0,1,1,3,48.2312734082397,25.41947565543071,72.5692883895131,49.378127864564746,1,0,2.0,1.0,1.0,32.0,846.0116542929289
151.0,26.618705234915613,1,1,0,2,47.5312734082397,25.519475655430703,71.5692883895131,49.378127864564746,1,0,3.0,2.0,1.0,29.0,844.6094263480411
152.0,49.53418297413531,0,1,0,2,51.5312734082397,25.119475655430712,72.5692883895131,49.378127864564746,1,0,3.0,3.0,1.0,26.0,838.5400437784773
153.0,71.83017220665468,0,2,0,11,53.2312734082397,25.119475655430712,71.5692883895131,49.378127864564746,1,0,2.0,5.0,1.0,33.0,795.2234632329232
154.0,86.64082777169949,0,0,0,5,44.2312734082397,25.219475655430706,72.5692883895131,49.378127864564746,1,0,2.0,5.0,1.0,35.0,779.2639005424905
155.0,39.78979017166452,1,0,0,2,52.13127340823971,25.319475655430715,72.5692883895131,49.378127864564746,1,0,3.0,5.0,1.0,34.0,735.5518453390877
156.0,74.82937193561186,1,0,0,4,56.2312734082397,25.519475655430703,72.5692883895131,49.378127864564746,1,0,4.0,5.0,1.0,36.0,639.5900798087043
157.0,37.57348705415009,0,1,0,0,56.931273408239704,26.119475655430712,72.5692883895131,49.378127864564746,1,0,3.0,6.0,1.0,34.0,579.686247453221
158.0,39.12960206942736,0,1,0,3,57.13127340823971,25.91947565543071,71.5692883895131,49.378127864564746,1,0,3.0,7.0,1.0,37.0,555.5609083621132
159.0,63.5396429926702,0,0,0,3,53.431273408239704,26.019475655430703,69.5692883895131,49.378127864564746,1,0,3.0,7.0,1.0,35.0,508.0810239915463
160.0,102.57434984821464,0,0,0,3,60.13127340823971,26.119475655430712,59.569288389513105,49.378127864564746,1,0,3.0,6.0,0.0,35.0,592.0601322591438
161.0,42.06986917218963,0,1,0,8,54.931273408239704,26.119475655430712,71.5692883895131,49.378127864564746,1,0,2.0,6.0,0.0,41.0,607.5112961964178
162.0,32.160041400301075,1,0,0,0,49.931273408239704,26.219475655430706,71.5692883895131,49.378127864564746,1,0,3.0,5.0,0.0,39.0,590.1371546225836
163.0,11.06449510224598,0,0,0,0,47.63127340823971,26.319475655430715,71.5692883895131,49.378127864564746,1,0,3.0,3.0,0.0,28.0,529.3714775181749
164.0,65.97277280610709,0,1,0,4,61.83127340823971,26.41947565543071,66.5692883895131,49.378127864564746,1,0,3.0,4.0,0.0,27.0,508.7034225525824
165.0,40.09887641712322,1,0,0,4,53.7312734082397,26.519475655430703,72.5692883895131,49.378127864564746,1,0,3.0,4.0,0.0,29.0,509.01250879804115
166.0,20.88698027015104,1,1,0,4,57.2312734082397,26.819475655430715,70.5692883895131,49.378127864564746,1,0,3.0,5.0,0.0,29.0,455.0701171325803
167.0,17.576491222541474,0,0,0,2,57.63127340823971,26.719475655430706,72.5692883895131,49.378127864564746,1,0,3.0,4.0,0.0,31.0,435.0731213009717
