timestamp,mouse_distance,mouse_left_click,mouse_right_click,mouse_scroll,keyboard_counts,cpu_percent,ram_percent,gpu_percent,gpu_vram_percent,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec,read_bytes_per_sec,write_bytes_per_sec,label
2025-09-23 21:53:32,341.8481539201087,0,0,0,0,19.9,74.7,12,18.891355871397167,2213,2684,13,11,460800,762880,video
2025-09-23 21:53:33,0,0,0,0,0,19.6,74.7,15,18.593282471299464,202,126,2,2,188416,192512,video
2025-09-23 21:53:34,0,0,0,0,0,16.7,74.3,17,18.64480604237909,2749,1464,9,9,286208,440320,video
2025-09-23 21:53:35,0,0,0,0,0,18.8,73.9,20,18.35932729298974,18462,459780,251,312,542208,445952,video
2025-09-23 21:53:36,331.1542399526958,0,0,0,0,18.8,73.7,23,18.364670478138738,0,0,0,0,471552,569856,video
2025-09-23 21:53:37,325.3076146690596,0,0,0,0,20.0,73.7,30,18.505119916340988,707,4367,8,9,121344,0,video
2025-09-23 21:53:38,24.217632209225687,0,0,0,0,13.0,73.7,26,18.499013419027847,55,0,1,0,442880,820224,video
2025-09-23 21:53:39,0,0,0,0,0,13.7,73.8,27,18.389096467391305,12880,395119,189,266,306176,784384,video
2025-09-23 21:53:41,59.946351070318585,0,0,0,0,15.0,73.9,29,18.384898250488522,137915,2551869,1599,1720,792576,1098240,video
2025-09-23 21:53:42,647.3642940012163,0,0,0,0,19.8,74.0,30,18.509699789325843,5946,91949,53,63,217088,16384,video
2025-09-23 21:53:43,655.8853415722816,0,0,0,0,14.9,74.1,30,18.512753037982414,0,0,0,0,470528,596992,video
2025-09-23 21:53:44,209.34200819727252,0,0,7,0,15.5,73.7,29,18.876852940278457,55,0,1,0,511488,645120,video
2025-09-23 21:53:45,295.6787399297885,0,0,13,0,22.9,74.0,27,19.107754869931608,27323,284045,196,221,438272,1160704,video
2025-09-23 21:53:46,365.8901335524538,0,0,0,0,16.8,74.1,33,19.120731176722032,18430,350394,202,241,103424,20480,video
2025-09-23 21:53:47,0,0,0,0,0,15.8,73.7,26,18.84288554897411,386,126,3,2,471040,844800,video
2025-09-23 21:53:48,0,0,0,0,0,11.7,73.7,32,18.892500839643382,2313,7255,17,17,565248,1655808,video
2025-09-23 21:53:49,0,0,0,0,0,14.1,73.8,30,18.810826438080117,275,258,5,4,3444736,977408,video
2025-09-23 21:53:50,0,0,0,0,0,12.6,74.0,31,18.778767327186127,15348,316074,187,230,19726336,28835840,video
2025-09-23 21:53:51,0,0,0,0,0,12.2,74.0,33,18.76273777173913,2277,1107,10,11,8536064,1518592,video
2025-09-23 21:53:52,0,0,0,0,0,12.1,74.1,38,18.659690629579874,2555,5793,15,16,29392896,50348544,video
2025-09-23 21:53:53,0,0,0,0,0,10.8,74.2,31,18.65511075659502,110,126,2,2,20049920,21348352,video
2025-09-23 21:53:54,0,0,0,0,0,13.1,74.4,30,18.694802989130434,0,0,0,0,8069120,16384,video
2025-09-23 21:53:55,0,0,0,0,0,11.6,74.5,29,18.69403967696629,16747,263983,180,179,20066304,28552704,video
2025-09-23 21:53:56,0,0,0,0,0,10.7,74.2,31,18.669613687713728,5802,90473,49,64,12439552,5829120,video
2025-09-23 21:53:57,0,0,0,0,0,14.3,74.4,29,18.669613687713728,165,192,3,3,8892416,4615680,video
2025-09-23 21:53:58,190.19978155447498,0,0,0,0,13.2,74.5,37,18.900515617366878,0,0,0,0,10936320,0,video
2025-09-23 21:53:59,112.9723182663493,0,0,0,0,14.9,74.2,30,18.868456506472885,0,0,0,0,9650176,4503040,video
2025-09-23 21:54:00,66.45710993373109,0,0,0,0,12.3,74.4,32,18.75624961834392,17349,436586,255,298,11948032,570368,video
2025-09-23 21:54:01,0,0,0,0,0,17.0,75.1,33,18.75090643319492,245,185,2,1,9428992,5739520,video
2025-09-23 21:54:02,0,0,0,0,0,16.6,75.3,35,18.69327636480215,120,173,1,2,7520256,12288,video
2025-09-23 21:54:03,0,0,0,0,0,16.2,75.2,33,18.561986672569613,0,0,0,0,7614464,7829504,video
2025-09-23 21:54:04,0,0,0,0,0,16.6,75.4,31,18.63526464032731,344,582,4,4,9232384,5909504,video
2025-09-23 21:54:05,0,0,0,0,0,17.8,75.7,32,18.619998397044455,23869,516192,292,357,9539584,15066624,video
2025-09-23 21:54:06,232.09202179844186,0,0,0,0,13.4,75.1,33,18.757776242672204,0,0,0,0,8355840,663552,video
2025-09-23 21:54:07,361.80543456159904,0,0,0,0,16.4,74.9,39,18.879142876770885,781,33714,14,24,11550720,5870592,video
2025-09-23 21:54:08,33.08216696791994,0,0,0,0,11.8,75.0,32,18.829527586101612,55,0,1,0,7335936,8021504,video
2025-09-23 21:54:09,0,0,0,0,0,14.9,74.8,31,18.74289165547142,0,0,0,0,7925760,11710464,video
2025-09-23 21:54:10,0,0,0,0,0,14.6,75.0,28,18.74212834330728,19786,456872,263,309,9555968,0,video
2025-09-23 21:54:11,0,0,0,0,0,16.9,75.0,29,18.732968597337567,0,0,0,0,7356416,8404992,video
2025-09-23 21:54:12,0,0,0,0,0,15.3,75.1,34,18.67953674584758,0,0,0,0,7565312,8024064,video
2025-09-23 21:54:13,0,0,0,0,0,15.1,75.2,33,18.669613687713728,55,0,1,0,7553024,9232384,video
2025-09-23 21:54:14,0,0,0,0,0,13.0,75.4,33,18.668850375549585,0,0,0,0,8712192,12288,video
2025-09-23 21:54:15,0,0,0,0,0,11.4,75.5,34,18.619235084880312,27261,432991,290,304,8093696,8855552,video
2025-09-23 21:54:16,0,0,0,0,0,14.8,75.6,34,18.619235084880312,2904,8131,10,11,8511488,10975744,video
2025-09-23 21:54:17,0,0,0,0,0,21.8,76.1,35,18.619235084880312,392,807,5,4,6168576,13982208,video
2025-09-23 21:54:18,0,0,0,0,0,21.3,75.7,32,18.668087063385443,338,297,6,4,4292608,0,video
2025-09-23 21:54:19,0,0,0,0,0,15.8,75.4,32,18.668850375549585,1445,1274,8,7,5863424,46499840,video
2025-09-23 21:54:20,0,0,0,0,0,16.3,75.5,36,18.470770868954567,24723,416410,273,313,5423104,11205120,video
2025-09-23 21:54:21,0,0,0,0,0,18.6,75.6,34,18.657209865046408,2165,867,8,7,4476928,3501568,video
2025-09-23 21:54:22,0,0,0,0,0,13.8,75.6,35,18.656446552882265,1133,5620,11,9,6463488,7376896,video
2025-09-23 21:54:23,0,0,0,0,0,14.5,75.7,32,18.58469520945286,12114,1049,11,7,6975488,165888,video
2025-09-23 21:54:24,0,0,0,0,0,13.5,75.8,32,18.583931897288718,5156,1660,10,7,6557696,15016448,video
2025-09-23 21:54:26,0,0,0,0,0,15.7,75.9,31,18.58164196079629,17848,491805,250,331,5115904,6642688,video
2025-09-23 21:54:27,0,0,0,0,0,21.0,75.9,28,18.509890617366878,593,613,4,4,4866048,2293760,video
2025-09-23 21:54:28,0,0,0,0,0,11.2,75.9,33,18.55874259587201,2395,1215,8,9,8679424,5137408,video
